DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
BankDeposit.dxml,BankDeposit.lxml,Column,DepositCurrencyId,DepositCurrencyId,Type,varchar,char
FullAccountingSetting.dxml,FullAccountingSetting.lxml,Relation,ExternalReconciliationDefault,NULL,Foreign Key Column,ExternalReconciliationDefault,NULL
BIReport.dxml,BIReport.lxml,Relation,DWQueryId,NULL,Foreign Key Column,DWQueryId,NULL
AccountingPartner.dxml,AccountingPartner.lxml,Column,NULL,Card,Name,NULL,Card
AccountingSetting.dxml,AccountingSetting.lxml,Column,NULL,VATableTempCard,Name,NULL,VATableTempCard
AccountingSetting.dxml,AccountingSetting.lxml,Column,NULL,VATExemptTempCard,Name,NULL,VATExemptTempCard
Address.dxml,Address.lxml,Relation,AddressTypeId,NULL,Foreign Key Column,AddressTypeId,NULL
Agent.dxml,Agent.lxml,Column,NULL,Card,Name,NULL,Card
AgentSharedDocument.dxml,AgentSharedDocument.lxml,Relation,StatusCode,NULL,Foreign Key Column,StatusCode,NULL
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,UpdatedByUserId,UpdatedByUserId,Type,varchar,datetime
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,ShipmentLevelCode,NULL,Name,ShipmentLevelCode,NULL
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,ShipmentLevelCode,NULL,Foreign Key,TRUE,NULL
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,TransportModeId,TransportModeId,Type,char,varchar
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,DirectionId,DirectionId,Type,char,varchar
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Relation,ShipmentLevelCode,NULL,Foreign Key Column,ShipmentLevelCode,NULL
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Relation,StatusCode,NULL,Foreign Key Column,StatusCode,NULL
Airline.dxml,Airline.lxml,Column,Prefix,Prefix,Type,char,varchar
Airline.dxml,Airline.lxml,Column,NULL,Card,Name,NULL,Card
Card.dxml,Card.lxml,Column,PartnerTypeId,PartnerTypeId,Type,char,varchar
Card.dxml,Card.lxml,Relation,ImageDetailId,NULL,Foreign Key Column,ImageDetailId,NULL
Card.dxml,Card.lxml,Column,NULL,PartnerTypeName,Name,NULL,PartnerTypeName
Card.dxml,Card.lxml,Column,NULL,AccountingCard,Name,NULL,AccountingCard
Card.dxml,Card.lxml,Column,NULL,CustomAgent,Name,NULL,CustomAgent
Card.dxml,Card.lxml,Column,NULL,ShippingAgent,Name,NULL,ShippingAgent
Card.dxml,Card.lxml,Column,NULL,Customer,Name,NULL,Customer
Card.dxml,Card.lxml,Column,NULL,Agent,Name,NULL,Agent
Card.dxml,Card.lxml,Column,NULL,Vendor,Name,NULL,Vendor
Card.dxml,Card.lxml,Column,NULL,AccountManagerUserId,Name,NULL,AccountManagerUserId
CardContactAdditionalService.dxml,CardContactAdditionalService.lxml,Relation,CardContactId,NULL,Foreign Key Column,CardContactId,NULL
CardContactProduct.dxml,CardContactProduct.lxml,Relation,CardContactId,NULL,Foreign Key Column,CardContactId,NULL
CarrierArea.dxml,CarrierArea.lxml,Column,Name,Name,Type,varchar,nvarchar
CarrierArea.dxml,CarrierArea.lxml,Column,TransportModeCode,TransportModeCode,Type,char,varchar
CarrierAreasPort.dxml,CarrierAreasPort.lxml,Column,Name,Name,Type,varchar,nvarchar
