DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
AcceptanceStatus.dxml,AcceptanceStatus.lxml,Table,AcceptanceStatuses,AcceptanceStatuses,DBType,Main,
AcceptanceStatus.dxml,AcceptanceStatus.lxml,Table,AcceptanceStatuses,AcceptanceStatuses,Schema,Customs,
AccumalationState.dxml,AccumalationState.lxml,Table,AccumalationStates,AccumalationStates,DBType,Main,
AccumalationState.dxml,AccumalationState.lxml,Table,AccumalationStates,AccumalationStates,Schema,Customs,
ActionCode.dxml,ActionCode.lxml,Table,ActionCodes,ActionCodes,DBType,Main,
ActionCode.dxml,ActionCode.lxml,Table,ActionCodes,ActionCodes,Schema,Customs,
AddressContactState.dxml,AddressContactState.lxml,Table,AddressContactStates,AddressContactStates,DBType,Main,
AddressContactState.dxml,AddressContactState.lxml,Table,AddressContactStates,AddressContactStates,Schema,Customs,
AddressPurpose.dxml,AddressPurpose.lxml,Table,AddressPurposes,AddressPurposes,DBType,Main,
AddressPurpose.dxml,AddressPurpose.lxml,Table,AddressPurposes,AddressPurposes,Schema,Customs,
AgentTalkBackType.dxml,AgentTalkBackType.lxml,Table,AgentTalkBackTypes,AgentTalkBackTypes,DBType,Main,
AgentTalkBackType.dxml,AgentTalkBackType.lxml,Table,AgentTalkBackTypes,AgentTalkBackTypes,Schema,Customs,
AmendmentFieldReasonType.dxml,AmendmentFieldReasonType.lxml,Table,AmendmentFieldReasonTypes,AmendmentFieldReasonTypes,DBType,Main,
AmendmentFieldReasonType.dxml,AmendmentFieldReasonType.lxml,Table,AmendmentFieldReasonTypes,AmendmentFieldReasonTypes,Schema,Customs,
AmendmentRequestStatus.dxml,AmendmentRequestStatus.lxml,Table,AmendmentRequestStatuses,AmendmentRequestStatuses,DBType,Main,
AmendmentRequestStatus.dxml,AmendmentRequestStatus.lxml,Table,AmendmentRequestStatuses,AmendmentRequestStatuses,Schema,Customs,
AmendmentStatus.dxml,AmendmentStatus.lxml,Table,AmendmentStatuses,AmendmentStatuses,DBType,Main,
AmendmentStatus.dxml,AmendmentStatus.lxml,Table,AmendmentStatuses,AmendmentStatuses,Schema,Customs,
ApprovedProfession.dxml,ApprovedProfession.lxml,Table,ApprovedProfessions,ApprovedProfessions,DBType,Main,
ApprovedProfession.dxml,ApprovedProfession.lxml,Table,ApprovedProfessions,ApprovedProfessions,Schema,Customs,
AssigneeNotificationType.dxml,AssigneeNotificationType.lxml,Table,AssigneeNotificationTypes,AssigneeNotificationTypes,DBType,Main,
