DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,UpdatedByUserId,UpdatedByUserId,Type,varchar,datetime
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,ShipmentLevelCode,NULL,Name,ShipmentLevelCode,NULL
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,TransportModeId,TransportModeId,Type,char,varchar
AgentSharedManifest.dxml,AgentSharedManifest.lxml,Column,DirectionId,DirectionId,Type,char,varchar
Airline.dxml,Airline.lxml,Column,Prefix,Prefix,Type,char,varchar
Card.dxml,Card.lxml,Column,PartnerTypeId,PartnerTypeId,Type,char,varchar
CarrierArea.dxml,CarrierArea.lxml,Column,Name,Name,Type,varchar,nvarchar
CarrierArea.dxml,CarrierArea.lxml,Column,TransportModeCode,TransportModeCode,Type,char,varchar
CarrierAreasPort.dxml,CarrierAreasPort.lxml,Column,Name,Name,Type,varchar,nvarchar
Contact.dxml,Contact.lxml,Column,SharedLogisticsContactLastLogin_ContactId,NULL,Name,SharedLogisticsContactLastLogin_ContactId,NULL
Contact.dxml,Contact.lxml,Column,SharedLogisticsContactLastLogin_CardId,NULL,Name,SharedLogisticsContactLastLogin_CardId,NULL
Contact.dxml,Contact.lxml,Column,SharedLogisticsContactLastLogin_PartnerTypeId,NULL,Name,SharedLogisticsContactLastLogin_PartnerTypeId,NULL
Contact.dxml,Contact.lxml,Column,SharedLogisticsContactLastLogin_Via,NULL,Name,SharedLogisticsContactLastLogin_Via,NULL
Country.dxml,Country.lxml,Column,Code,Code,Type,char,varchar
CustomerTenantAccessCardsBatch.dxml,CustomerTenantAccessCardsBatch.lxml,Column,FromDatetime,NULL,Name,FromDatetime,NULL
CustomerTenantAccessCardsBatch.dxml,CustomerTenantAccessCardsBatch.lxml,Column,ToDatetime,NULL,Name,ToDatetime,NULL
CustomerTenantAccessRequest.dxml,CustomerTenantAccessRequest.lxml,Column,Id,Id,Type,varchar,
CustomsShipper.dxml,CustomsShipper.lxml,Column,SearchFields,SearchFields,Type,varchar,nvarchar
DocumentFilingBackupBatch.dxml,DocumentFilingBackupBatch.lxml,Column,FromDatetime,NULL,Name,FromDatetime,NULL
DocumentFilingBackupBatch.dxml,DocumentFilingBackupBatch.lxml,Column,ToDatetime,NULL,Name,ToDatetime,NULL
DocumentType.dxml,DocumentType.lxml,Column,CountryCode,CountryCode,Type,char,varchar
DocumentTypeTemplate.dxml,DocumentTypeTemplate.lxml,Column,CountryCode,CountryCode,Type,char,varchar
LeadSource.dxml,LeadSource.lxml,Column,Name,Name,Type,varchar,nvarchar
PartnerType.dxml,PartnerType.lxml,Column,Id,Id,Type,char,varchar
Port.dxml,Port.lxml,Column,Code,Code,Type,char,varchar
ProductType.dxml,ProductType.lxml,Column,Name,Name,Type,varchar,nvarchar
Tenant.dxml,Tenant.lxml,Column,DefaultSLAId,DefaultSLAId,Type,varchar,bit
BatchServicesDefinition.dxml,BatchServicesDefinition.lxml,Column,QueueDefinitionCode,NULL,Name,QueueDefinitionCode,NULL
BluesnapTransaction.dxml,BluesnapTransaction.lxml,Column,Tenant,NULL,Name,Tenant,NULL
TenantManagement.dxml,TenantManagement.lxml,Column,BluesnapContractQTY,NULL,Name,BluesnapContractQTY,NULL
TenantManagement.dxml,TenantManagement.lxml,Column,BluesnapCRMContractQTY,NULL,Name,BluesnapCRMContractQTY,NULL
TenantManagement.dxml,TenantManagement.lxml,Column,BluesnapEAWBContractQTY,NULL,Name,BluesnapEAWBContractQTY,NULL
TenantManagement.dxml,TenantManagement.lxml,Column,BluesnapEAWBSContractQTY,NULL,Name,BluesnapEAWBSContractQTY,NULL
TenantManagement.dxml,TenantManagement.lxml,Column,BluesnapOneTimeContractQTY,NULL,Name,BluesnapOneTimeContractQTY,NULL
TenantManagement.dxml,TenantManagement.lxml,Column,BluesnapInttraStockContractQTY,NULL,Name,BluesnapInttraStockContractQTY,NULL
APILogs.dxml,APILogs.lxml,Column,Subject,Subject,Type,varchar,nvarchar
