 ,WCO  CRI ,,,,,לטובת הסבות מסר קיים למסר חדש,,,v,,,,WCO  CRI ,לטובת הסבות מסר קיים למסר חדש,,כללי,,, 
סודר,חטיבה,רמה,WCOID,מופעים,הערות יעקב,הערות,שדה במסר קיים ימי/יבשתי,חובה/אופציונלי,הנחיות המרה,שדה במסר קיים ימי/יבשתי,WCO DD Name,WCO XML Name,WCO-XML-NAME,כינון,שם שדה בעברית,הסבר כללי,הערות,המלצה,צריך
,,,,,,,,,,,,,,,,,,,
2,  declaration,1,42A,1,,,,,H,,,Declaration,Declaration,declaration,כותרת הצהרה,,,,צריך
5,  declaration,2,017 ,0..1,,,,M,קבוע = 2 (קוד עדכון),קוד עדכון,"Message function, coded",FunctionCode,   FunctionCode,Declaration.FunctionCode,קוד פעולה,"הוספה(חדש) , עדכון",,קוד פעולה - למה נדרש ברמת קובץ. אין לו משמעות ברמת קובץ ולכן הוחלט שאין בו צורך,לא צריך
6,  declaration,2,D014 ,0..1,,,מספר מצהר-רשומה 1-פוז' 018-023,M,העתקה מלאה,מספר מצהר,Declaration reference number,ID,   ID,Declaration.ID,מזהה מצהר,,מספר מצהר,,צריך
10,  declaration,2,D013 ,0..1,,,,M,ערך קבוע 785,,"Declaration name, coded",TypeCode,   TypeCode,Declaration.TypeCode,סוג מסר,כיוון שהמבנה משמש להרבה מסרים נדרש לציין את סוג המסר שמדובר במסר מצהר,"
Cargo manifest = 785
",,צריך
,  declaration,2,17B,0..1,,,,,לא צריך,,,Submitter,   Submitter,,פרטי משדר,,,,לא צריך
37,  declaration,3,R059 ,0..1,,,,O,לא צריך,גורם מדווח,"Submitter, coded",ID,      ID,Declaration.Submitter.ID,מזהה גורם משדר,הגורם הטכני ששידר את המסר ,"מספר מזהה של הגורם  המשדר את הנתונים

",הגורם הטכני ששידר את המסר . ,לא צריך
54,  declaration,2,03A,0..*,,,,,H,,,AdditionalInformation,   AdditionalInformation,Declaration.AdditionalInformation,כותרת פרטי מידע נוסף,,,,צריך
57,  declaration,3,226 ,0..1,,,,M,קבוע 1= מצהר ימי,,"Additional statement, coded",StatementCode,      StatementCode,Declaration.AdditionalInformation.StatementCode,קוד ערך נתון,"נתונים נוספים ברמת מצהר:
1 = סוג מצהר",,,צריך
59,  declaration,3,369,0..1,,,,M,תאור קוד 1 = מצהר ימי,,Additional statement type,StatementTypeCode,      StatementTypeCode,Declaration.AdditionalInformation.StatementTypeCode,קוד סוג נתון,,,,צריך
2001,  declaration,3,226,0..1,,,,M,,,"Additional statement, coded",StatementCode,      StatementCode,Declaration.AdditionalInformation.StatementCode,ערך סוג מצהר,"ערכים לסוג מצהר
1 -  ימי
3-  אווירי
2- יבשתי",שכפול של סודר 57,,צריך
2002,  declaration,3,369,0..1,,,,M,,,Additional statement type,StatementTypeCode,      StatementTypeCode,Declaration.AdditionalInformation.StatementTypeCode,קוד סוג מצהר,"1= קוד סוג מצהר
ManifestType",שכפול של סודר 59,,צריך
79,  declaration,2,06A,0..*,,,,O,לא צריך,,,Amendment,   Amendment,,פרטי דיווח תיקונים,חטיבת תיקונים,"מיועד עבור תיקונים ושינויים/ביטול בהצהרה
נשתמש רק בהצבעה על עיסקאות שהשתנו , נוספו (לא חובה), בוטלו . יש להגדיר את השדות שיצביעו על העסקה המתוקנת. למצוא פתרון לפיצול עסקאות.",לא להשתמש,לא צריך
80,  declaration,3,099 ,0..1,,,,O,לא צריך,,Amendment code, ChangeReasonCode,       ChangeReasonCode,,קוד סיבת תיקון,,,,לא צריך
81,  declaration,3,97A,0..*,,,,,לא צריך,,, Pointer,       Pointer,Declaration.Amendment.Pointer,מצביע על מיקום התיקון,,מצביע על השינוי,,לא צריך
82,  declaration,4,375 ,0..1,,לא צריך,,,לא צריך,,"Document/message section, coded",DocumentSectionCode,         DocumentSectionCode,Declaration.Amendment.DocumentSectionCode,חטיבת נתונים,,מטען,,לא צריך
83,  declaration,4,006 ,0..1,,לא צריך,,,לא צריך,,Sequence number,SequenceNumeric,         SequenceNumeric,Declaration.Amendment.SequenceNumeric,סידורי במצהר,,הצבעה לסידורי במצהר,,לא צריך
84,  declaration,4,381 ,0..1,,לא צריך,,,לא צריך,,Tag identifier,TagID,         TagID,Declaration.Amendment.TagID,מספר מזהה שדה במסר,,,,לא צריך
60,  declaration,2,05A,0..*,,,,C,H,,,Agent,   Agent,Declaration.Agent,כותרת פרטי סוכנים משתתפים,משמש לצורך דיווח סוכני האוניה המשתתפים בעלויות כלי התובלה ורק הם מוסמכים לשדר עסקאות ללא עסקאות אב ולשדר פקודות מסירה לאותם עסקאות,רלוונטי רק לימי,,צריך
61,  declaration,3,R004 ,0..1,,מספר ח.פ שאותו ימלא הסוכן המתפעל בגין סוכנים אחרים שהביאו מכולות באנייה,קוד סוכן אחר-רשומה 3-פוז' 186-188,C,תנאי-אם יש סוכנים אחרים באנייה -העתקה מלאה של מספר ה-ח.פ,,"Agent, coded",ID,      ID,Declaration.Agent.ID,מזהה סוכן ,,,,צריך
63,  declaration,3,R005,0..1,,לא צריך,,O,לא צריך,,Role Code,RoleCode,      RoleCode,Declaration.Agent.RoleCode,קוד תפקיד סוכן,,,,לא צריך
103,  declaration,2,15A,0..*,,,,O,לא צריך,,,BorderTransportMeans,   BorderTransportMeans,declaration.BorderTransportMeans,כותרת נתוני כלי התובלה והמסע,,,,צריך
104,  declaration,3,172 ,0..1,,,תאריך הגעה משוער- רשומה 2-פוז' 021-028,M,העתקה מלאה,תאריך הגעה משוער,Date and time of arrival at first port of arrival in Customs territory, ArrivalDateTime,       ArrivalDateTime,Declaration.BorderTransportMeans.ArrivalDateTime,תאריך הגעה משוער,,,,צריך
105,  declaration,3,156 ,0..1,,מועד ההפלגה מהנמלהאחרון לנמל הנוכחי,,O,לא צריך,,Departure date and time, DepartureDateTime,       DepartureDateTime,Declaration.BorderTransportMeans.DepartureDateTime,תאריך ושעת יציאה מאתר יציאה אחרון ,,,,צריך
106,  declaration,3,085 ,0..1,,הנמל אליו שודר המצהר,קוד אתר אליו נמסר המצהר-רשומה2 -פוז' 016-020,M,העתקה מלאה,,"First port of arrival, coded", FirstArrivalLocationID,       FirstArrivalLocationID,Declaration.BorderTransportMeans.FirstArrivalLocationID,אתר פקידה ראשון,,,,צריך
