MAWBStacks,Tenant; AirlineId; Number
ARInvoices,Tenant; InvoiceNumber
Screens,Tenant; Code; ObjectTableId
RoleFeatures,RoleId; FeatureId; Tenant
Shipments,Tenant; ShipmentNumber
Quotes,Tenant; QuoteNumber
sysdiagrams,principal_id; name
InterestBasesTypes,Tenant; Code
PackageTypes,Tenant; Code
ObjectFields,FieldName; ObjectTableId; Tenant
ObjectFields,Tenant; Code; ObjectTableId
Incoterms,Tenant; Code
Queries,Code; ObjectTableId; UserId; Tenant
Queries,UniqueCode
EntityStatus,Code; Tenant
InterestTransactions,Tenant; InterestEntityTypeCode; EntityId; OriginalEntityLineNumber; GLAccountId
DocumentTypes,Tenant; Code
MenusTables,Code; Tenant
GLAccounts,DisplayNumber; Tenant
EventTypes,Tenant; Code; ObjectTableId
TextCodes,Tenant; Code; ObjectTableId
ObjectTableRuleFields,ObjectFieldId; ObjectTableRuleId; Tenant
Cards,Tenant; Code; PartnerTypeId
PaymentCheques,UniqueField; BankAccountId; Tenant
MenuButtonGroups,Name; Tenant
ObjectTableTabs,Code; Tenant
ObjectTableRules,RuleCode; Tenant
Countries,Tenant; Code
GLAccountCounters,Tenant; Prefix
MenuButtons,EventCode; MenuButtonGroupId; Tenant
MessagingStockUsageHistories,EntityId; MessageType
Currencies,Tenant; Code
ObjectTableHelperControls,Code; Tenant
VatTypes,Tenant; Code
Ranks,Code; Tenant
Measurements,Code; Tenant
Roles,Tenant; Code
Ports,Tenant; Code; CountryId
Industries,Code; Tenant
ObjectTables,Name; Tenant
States,Tenant; Code; CountryId
DBIdCounters,TableName
CountryCities,CountryId; Code; Tenant
TariffLines,TariffId; Version; LineUniqueKeyText
Features,Code; ObjectTableId; Tenant
