InterestBaseTypeId,LineNumber,Tenant,CreateDate,CreatedByUserId,UpdateDate,UpdatedByUserId,InterestBaseStartDate,InterestRate
1-10,1,1071,2019-12-02 09:32:43.363,1-81605,2019-12-02 09:32:43.363,1-81605,2019-12-04 00:00:00.000,44.00
1-10,2,1071,2019-12-02 09:32:43.377,1-81605,2019-12-02 09:32:43.377,1-81605,2019-12-07 00:00:00.000,22.00
1-11,1,1071,2019-12-02 10:08:02.897,1-81605,2019-12-02 10:08:02.927,1-81605,2019-12-02 00:00:00.000,14.00
1-11,2,1071,2019-12-02 10:08:02.970,1-81605,2019-12-02 10:08:03.003,1-81605,2019-11-23 00:00:00.000,45.00
1-12,1,1071,2019-12-02 10:18:16.867,1-81341,2019-12-02 10:18:17.023,1-81341,2019-11-23 00:00:00.000,23.00
1-13,1,1071,2019-12-02 10:24:44.207,1-81341,2019-12-02 10:24:44.363,1-81341,2019-12-02 00:00:00.000,12.00
1-13,2,1071,2019-12-02 10:24:44.647,1-81341,2019-12-02 10:24:44.833,1-81341,2019-11-23 00:00:00.000,74.00
1-15,1,1071,2019-12-02 10:32:34.353,1-81605,2019-12-02 10:32:34.507,1-81605,2019-12-02 00:00:00.000,12.00
1-15,2,1071,2019-12-02 10:32:34.757,1-81605,2019-12-02 10:32:34.917,1-81605,2019-11-23 00:00:00.000,96.00
1-15,3,1071,2019-12-02 15:54:07.760,1-81605,2019-12-02 15:54:07.760,1-81605,2019-12-23 00:00:00.000,22.00
1-18,1,1071,2019-12-02 15:49:09.813,1-81605,2019-12-02 15:50:30.997,1-81605,2019-11-23 00:00:00.000,55.00
1-18,2,1071,2019-12-02 15:49:09.843,1-81605,2019-12-02 15:49:30.717,1-81605,2019-11-23 00:00:00.000,78.00
1-18,3,1071,2019-12-02 15:50:55.200,1-81605,2019-12-02 15:51:37.073,1-81605,2019-11-23 00:00:00.000,54.00
1-19,1,1071,2019-12-02 15:54:42.733,1-81605,2019-12-02 15:54:42.750,1-81605,2019-12-12 00:00:00.000,4.00
1-2,1,1071,2019-11-27 16:03:04.757,1-81605,2019-11-27 16:03:04.757,1-81605,2019-11-27 00:00:00.000,0.20
1-2,2,1071,2019-12-02 15:53:34.217,1-81605,2019-12-02 15:53:34.217,1-81605,2019-12-19 00:00:00.000,42.00
1-20,1,1071,2019-12-02 15:55:39.733,1-81605,2019-12-02 15:55:39.733,1-81605,2019-12-10 00:00:00.000,33.00
1-20,2,1071,2019-12-02 15:55:55.987,1-81605,2019-12-02 15:56:05.393,1-81605,2019-12-10 00:00:00.000,42.00
1-21,1,1071,2019-12-02 15:58:43.973,1-81605,2019-12-02 15:58:44.120,1-81605,2019-12-02 00:00:00.000,14.00
1-21,2,1071,2019-12-02 15:58:44.350,1-81605,2019-12-02 15:59:35.773,1-81605,2019-12-05 00:00:00.000,78.00
1-21,3,1071,2019-12-02 16:01:23.257,1-81605,2019-12-02 16:01:23.403,1-81605,2019-12-07 00:00:00.000,66.00
1-21,4,1071,2019-12-15 09:24:49.020,1-81605,2019-12-15 09:25:03.877,1-81605,2019-12-13 00:00:00.000,70.00
1-22,1,1071,2019-12-02 16:35:23.947,1-81341,2019-12-02 16:35:23.947,1-81341,2019-12-02 00:00:00.000,41.00
1-22,2,1071,2019-12-02 16:35:49.943,1-81341,2019-12-02 16:35:49.960,1-81341,2019-12-11 00:00:00.000,89.00
1-23,1,1071,2019-12-03 10:07:51.803,1-81605,2020-03-10 08:25:44.270,1-96175,2019-12-03 00:00:00.000,15.00
1-24,1,1071,2019-12-06 18:53:46.947,1-81605,2019-12-06 18:53:46.963,1-81605,2019-12-06 00:00:00.000,12.00
1-25,1,1071,2019-12-06 19:02:51.757,1-81341,2019-12-06 19:02:51.773,1-81341,2019-12-06 00:00:00.000,78.00
1-28,1,1071,2019-12-09 14:00:36.093,1-81605,2019-12-09 14:00:36.107,1-81605,2019-12-09 00:00:00.000,12.00
1-29,1,1071,2019-12-14 14:03:16.003,1-81605,2019-12-14 14:03:16.003,1-81605,2019-12-14 00:00:00.000,12.00
1-3,1,1071,2019-11-27 15:48:21.930,1-81605,2019-11-27 15:48:21.943,1-81605,2019-11-15 00:00:00.000,0.20
1-31,1,1071,2019-12-15 09:28:14.580,1-81605,2019-12-15 09:28:14.613,1-81605,2019-12-26 00:00:00.000,58.00
1-32,1,1071,2019-12-15 09:29:55.847,1-81605,2019-12-15 10:38:54.557,1-81341,2019-09-07 23:00:00.000,1.00
1-32,2,1071,2019-12-15 09:30:37.947,1-81605,2019-12-15 10:38:54.573,1-81341,2019-12-06 00:00:00.000,3.00
1-32,3,1071,2019-12-15 10:38:12.537,1-81341,2019-12-15 10:38:54.573,1-81341,2019-12-21 00:00:00.000,2.00
1-32,4,1071,2019-12-15 10:41:58.580,1-81341,2019-12-15 10:41:58.580,1-81341,2019-09-06 23:00:00.000,79.00
1-32,5,1071,2019-12-15 10:43:41.390,1-81341,2019-12-15 10:44:15.793,1-81341,2019-08-31 00:00:00.000,91.00
1-32,6,1071,2019-12-15 10:43:41.407,1-81341,2019-12-15 10:54:17.787,1-81341,2019-08-06 00:00:00.000,78.00
1-32,7,1071,2019-12-15 10:54:17.913,1-81341,2019-12-15 10:54:17.960,1-81341,2019-12-14 00:00:00.000,78.00
1-33,1,1071,2019-12-15 09:57:50.883,1-81341,2019-12-15 09:57:50.897,1-81341,2019-12-15 00:00:00.000,71.00
1-33,2,1071,2019-12-15 09:59:11.817,1-81341,2019-12-15 09:59:11.830,1-81341,2019-12-06 00:00:00.000,89.00
1-33,3,1071,2019-12-15 10:24:26.830,1-81341,2019-12-15 10:24:43.967,1-81341,2019-09-09 23:00:00.000,78.00
1-34,1,1071,2019-12-15 10:26:14.097,1-81341,2019-12-15 10:28:32.457,1-81341,2019-12-26 00:00:00.000,20.00
1-35,1,1071,2019-12-17 10:02:34.160,1-78238,2019-12-17 10:03:07.727,1-78238,2019-12-17 00:00:00.000,15.00
1-36,1,1071,2020-01-29 10:13:25.927,1-96175,2020-01-29 10:23:45.950,1-96175,2019-11-24 23:00:00.000,12.00
1-39,1,1071,2020-02-11 08:43:41.670,1-82241,2020-02-14 15:57:09.717,1-82241,2020-01-01 00:00:00.000,0.53
1-39,2,1071,2020-02-11 08:43:41.717,1-82241,2020-02-14 15:57:09.733,1-82241,2020-02-01 00:00:00.000,0.56
1-40,1,1071,2020-02-11 08:44:44.147,1-82241,2020-02-14 15:58:26.310,1-82241,2020-01-01 00:00:00.000,1.20
1-40,2,1071,2020-02-11 08:44:44.163,1-82241,2020-02-14 15:58:26.327,1-82241,2020-02-01 00:00:00.000,0.33
1-41,1,1071,2020-02-11 08:45:30.020,1-82241,2020-02-14 15:57:51.807,1-82241,2020-01-01 00:00:00.000,0.25
1-41,2,1071,2020-02-11 08:45:30.037,1-82241,2020-02-14 15:57:51.820,1-82241,2020-02-01 00:00:00.000,1.58
1-6,1,1071,2019-12-02 09:50:02.560,1-81605,2019-12-02 09:50:02.703,1-81605,2019-12-11 00:00:00.000,32.00
1-7,1,1071,2019-12-02 09:18:18.737,1-81605,2019-12-02 09:18:18.753,1-81605,2019-12-19 00:00:00.000,0.12
1-8,1,1071,2019-12-02 10:13:23.723,1-81605,2019-12-02 16:16:47.917,1-81605,2019-08-07 23:00:00.000,14.00
1-8,2,1071,2019-12-02 10:14:04.880,1-81605,2019-12-02 10:14:05.050,1-81605,2019-12-09 23:00:00.000,75.00
1-8,3,1071,2019-12-02 10:25:44.980,1-81341,2019-12-02 10:25:45.197,1-81341,2019-12-02 00:00:00.000,96.00
1-8,4,1071,2019-12-02 16:17:02.357,1-81605,2019-12-02 16:17:28.833,1-81605,2019-08-07 00:00:00.000,4.00
1-8,5,1071,2019-12-02 16:19:11.917,1-81605,2019-12-02 16:19:12.067,1-81605,2019-08-14 00:00:00.000,55.00
1-8,6,1071,2019-12-02 16:19:25.690,1-81605,2019-12-02 16:19:25.840,1-81605,2019-12-12 00:00:00.000,44.00
1-8,7,1071,2019-12-02 16:21:40.167,1-81605,2019-12-02 16:23:49.817,1-81605,2019-12-13 00:00:00.000,55.00
1-9,1,1071,2019-12-02 09:31:26.573,1-81605,2019-12-02 10:11:10.873,1-81605,2019-12-12 00:00:00.000,85.00
1-9,2,1071,2019-12-02 10:10:10.100,1-81605,2019-12-02 10:12:11.207,1-81605,2019-12-08 23:00:00.000,85.00
1-9,3,1071,2019-12-02 10:11:51.487,1-81605,2019-12-02 10:11:52.003,1-81605,2019-12-02 00:00:00.000,99.00
