Id,Tenant,CreateDateTime,UpdateDateTime,SearchFields,GLAccountId,InterestEntityTypeCode,EntityId,OriginalEntityLineNumber,LocalAmount,ForeignAmount,CurrencyId,InterestValueDate,InterestReportId,IsClosed
1-26062,1071,2/13/2020 13:03,2/13/2020 13:03,,1-439694,3,1-1008058,1,200,200,Jan-29,1/12/2020 0:00,NULL,0
1-26066,1071,2/13/2020 13:29,2/13/2020 13:29,,1-439694,3,1-1008059,1,200,200,Jan-29,1/12/2020 0:00,NULL,0
1-26068,1071,2/13/2020 13:30,2/13/2020 13:30,,1-439694,3,1-1008060,1,100,100,Jan-29,1/12/2020 0:00,NULL,0
1-26070,1071,2/13/2020 13:38,2/13/2020 13:38,,1-439694,3,1-1008061,1,-100,-100,Jan-29,1/25/2020 0:00,NULL,0
1-26072,1071,2/13/2020 13:39,2/13/2020 13:39,,1-439694,3,1-1008062,1,-200,-200,Jan-29,1/25/2020 0:00,NULL,0
1-26074,1071,2/13/2020 13:41,2/13/2020 13:41,,1-439694,3,1-1008063,1,100,100,Jan-29,1/25/2020 0:00,NULL,0
1-26076,1071,2/13/2020 13:42,2/13/2020 13:42,,1-439694,3,1-1008064,1,-250,-250,Jan-29,1/26/2020 0:00,NULL,0
1-26078,1071,2/14/2020 12:31,2/14/2020 12:31,,1-439694,3,1-1008065,1,-50,-50,Jan-29,1/26/2020 0:00,NULL,0
1-26082,1071,2/14/2020 12:32,2/14/2020 12:32,,1-439694,3,1-1008066,1,-800,-800,Jan-29,2/2/2020 0:00,NULL,0
1-26084,1071,2/14/2020 12:34,2/14/2020 12:34,,1-439694,3,1-1008067,1,500,500,Jan-29,2/2/2020 0:00,NULL,0
1-26086,1071,2/14/2020 12:36,2/14/2020 12:36,,1-439694,3,1-1008068,1,200,200,Jan-29,2/5/2020 0:00,NULL,0
1-26088,1071,2/14/2020 12:37,2/14/2020 12:37,,1-439694,3,1-1008069,1,800,800,Jan-29,2/5/2020 0:00,NULL,0
